time,mv
  20.00,30.7
  20.02,30.2
  20.04,30.7
  20.06,30.2
  20.08,30.9
  20.12,31.2
  20.14,30.9
  20.16,31.4
  20.18,30.4
  20.20,30.9
  20.22,30.4
  20.24,30.9
  20.26,30.7
  20.28,30.2
  20.30,30.9
  20.32,30.4
  20.34,31.4
  20.36,31.2
  20.38,31.7
  20.42,30.7
  20.48,31.7
  20.50,31.4
  20.52,31.7
  20.54,30.9
  20.56,31.7
  20.58,30.9
  21.00,31.4
  21.02,30.7
  21.04,30.9
  21.06,31.2
  21.08,31.4
  21.10,30.9
  21.12,31.2
  21.14,30.7
  21.16,31.2
  21.18,31.7
  21.20,31.4
  21.22,31.2
  21.24,30.4
  21.28,30.9
  21.30,31.9
  21.32,31.2
  21.36,31.9
  21.38,30.7
  21.40,30.9
  21.42,31.2
  21.44,31.4
  21.46,30.4
  21.48,30.9
  21.50,30.4
  21.52,30.7
  21.56,30.4
  21.58,30.7
  22.00,30.4
  22.02,29.9
  22.04,29.7
  22.06,30.7
  22.08,31.7
  22.12,31.2
  22.14,30.7
  22.16,30.9
  22.18,30.7
  22.20,31.2
  22.22,30.7
  22.24,31.4
  22.28,30.9
  22.30,31.2
  22.32,30.9
  22.40,31.9
  22.42,30.9
  22.44,31.4
  22.46,31.7
  22.48,30.9
  22.50,31.2
  22.52,31.4
  22.54,31.2
  22.56,31.4
  22.58,31.2
  23.02,32.4
  23.04,31.2
  23.06,31.4
  23.08,30.7
  23.10,30.2
  23.12,31.2
  23.14,30.7
  23.18,31.4
  23.22,30.9
  23.24,31.4
  23.26,30.9
  23.30,31.2
  23.32,31.9
  23.34,31.7
  23.36,31.9
  23.40,31.4
  23.42,31.7
  23.44,31.9
  23.46,32.1
  23.52,31.7
  23.56,31.2
  24.00,31.7
  24.02,30.9
  24.04,31.4
  24.06,30.9
  24.08,30.4
  24.10,30.9
  24.12,31.2
  24.14,30.9
  24.16,31.7
  24.18,30.9
  24.20,31.9
  24.22,31.2
  24.24,30.9
  24.26,31.2
  24.28,31.9
  24.32,31.2
  24.34,31.7
  24.36,32.1
  24.38,31.4
  24.40,31.2
  24.42,31.4
  24.46,31.7
  24.56,32.4
  24.58,31.2
  25.00,31.7
  25.02,31.2
  25.06,31.4
  25.08,31.7
  25.10,32.1
  25.12,31.9
  25.14,31.7
  25.16,31.4
  25.18,31.2
  25.20,31.7
  25.22,31.9
  25.24,31.7
  25.30,32.1
  25.34,31.4
  25.36,31.7
  25.38,32.1
  25.40,31.9
  25.42,31.4
  25.44,31.9
  25.48,32.1
  25.50,31.4
  25.52,32.1
  25.54,31.4
  25.56,32.1
  25.58,31.9
  26.00,31.7
  26.02,31.9
  26.04,31.7
  26.06,31.2
  26.10,31.7
  26.14,31.4
  26.18,30.9
  26.20,31.2
  26.22,31.7
  26.26,32.1
  26.30,31.4
  26.32,32.1
  26.34,31.7
  26.38,32.1
  26.40,31.9
  26.42,32.6
  26.44,32.1
  26.46,31.7
  26.48,32.1
  26.50,32.6
  26.52,32.1
  26.54,32.9
  26.56,32.4
  27.00,32.6
  27.04,32.4
  27.06,32.1
  27.08,32.9
  27.10,32.1
  27.14,32.6
  27.16,31.7
  27.18,32.1
  27.20,32.6
  27.22,32.9
  27.24,32.4
  27.26,32.1
  27.28,31.9
  27.30,31.7
  27.32,30.9
  27.34,31.4
  27.35,31.4
  27.36,32.6
  27.38,32.4
  27.40,32.1
  27.46,31.9
  27.52,32.6
  27.54,32.4
  27.56,31.9
  27.58,31.7
  28.00,31.4
  28.02,31.9
  28.04,32.1
  28.06,31.4
  28.08,32.4
  28.10,32.1
  28.12,31.9
  28.14,32.6
  28.16,32.1
  28.20,31.9
  28.22,32.1
  28.24,31.9
  28.26,32.1
  28.28,31.9
  28.30,32.4
  28.32,31.7
  28.34,32.4
  28.36,32.1
  28.38,31.4
  28.40,32.1
  28.44,31.9
  28.46,32.1
  28.48,31.7
  28.50,31.9
  28.52,32.1
  28.54,32.9
  28.56,32.4
  28.58,33.4
  29.00,32.6
  29.02,32.4
  29.04,31.4
  29.06,32.1
  29.10,31.9
  29.14,32.6
  29.16,31.9
  29.18,31.4
  29.20,32.6
  29.22,32.1
  29.24,32.4
  29.26,32.6
  29.28,32.4
  29.30,31.9
  29.32,32.1
  29.34,32.6
  29.36,32.1
  29.38,32.4
  29.40,31.7
  29.42,32.6
  29.44,32.4
  29.46,31.7
  29.48,32.9
  29.50,31.7
  29.52,32.4
  29.56,32.1
  30.00,32.4
  30.02,31.7
  30.04,32.6
  30.08,32.4
  30.12,33.1
  30.14,32.9
  30.16,32.4
  30.18,32.6
  30.20,32.4
  30.22,33.1
  30.24,32.6
  30.28,32.1
  30.30,32.4
  30.32,32.6
  30.34,32.9
  30.36,33.1
  30.38,32.6
  30.40,32.4
  30.42,32.6
  30.44,32.4
  30.48,32.9
  30.52,33.1
  30.54,32.1
  30.56,32.9
  31.00,32.6
  31.04,32.9
  31.06,33.4
  31.08,32.6
  31.10,32.4
  31.12,32.6
  31.14,32.4
  31.16,32.9
  31.18,32.6
  31.24,32.9
  31.26,32.6
  31.28,32.9
  31.32,33.1
  31.34,32.4
  31.36,33.1
  31.40,33.4
  31.42,32.4
  31.44,33.1
  31.48,32.4
  31.50,33.1
  31.52,32.4
  31.54,32.1
  31.56,32.6
  32.00,32.1
  32.04,33.1
  32.06,32.6
  32.08,32.9
  32.10,33.6
  32.14,32.9
  32.22,32.4
  32.24,32.9
  32.26,33.1
  32.28,33.6
  32.30,32.6
  32.32,33.4
  32.34,33.6
  32.36,33.1
  32.38,32.6
  32.42,32.9
  32.44,33.1
  32.46,32.6
  32.48,33.4
  32.50,32.6
  32.52,32.1
  32.54,33.1
  32.56,32.6
  33.00,32.9
  33.02,32.4
  33.04,32.6
  33.06,32.9
  33.10,33.1
  33.12,32.9
  33.14,33.4
  33.16,33.9
  33.22,33.6
  33.24,32.9
  33.26,33.1
  33.28,33.4
  33.30,33.9
  33.34,33.4
  33.36,33.9
  33.38,33.4
  33.40,33.1
  33.42,33.4
  33.44,32.9
  33.46,33.1
  33.48,33.4
  33.50,33.6
  33.54,33.1
  33.56,33.4
  33.58,33.1
  34.00,32.4
  34.02,33.1
  34.04,33.4
  34.06,32.6
  34.08,32.9
  34.10,33.4
  34.12,33.6
  34.14,34.1
  34.16,33.9
  34.18,33.6
  34.20,34.3
  34.22,34.1
  34.24,34.3
  34.26,33.9
  34.28,34.1
  34.30,33.6
  34.32,33.4
  34.44,33.1
  34.48,33.4
  34.50,33.1
  34.52,33.6
  34.54,33.4
  34.56,33.6
  34.58,33.4
  35.00,32.6
  35.02,33.6
  35.04,33.1
  35.06,33.4
  35.10,33.6
  35.12,32.9
  35.16,33.6
  35.18,33.9
  35.20,33.4
  35.22,33.9
  35.28,33.6
  35.30,33.4
  35.33,33.4
  35.34,33.6
  35.38,34.1
  35.42,33.9
  35.44,33.6
  35.46,34.1
  35.48,34.6
  35.50,34.1
  35.52,34.3
  35.54,34.1
  35.58,33.6
  36.00,33.9
  36.02,33.6
  36.04,33.9
  36.06,34.1
  36.08,34.3
  36.12,33.9
  36.14,34.1
  36.16,33.4
  36.18,34.6
  36.20,34.3
  36.22,34.1
  36.24,33.6
  36.26,33.9
  36.28,34.8
  36.30,34.3
  36.32,34.6
  36.34,34.3
  36.38,34.1
  36.42,33.6
  36.46,33.4
  36.52,34.6
  36.54,34.1
  36.58,33.6
  37.02,33.1
  37.06,33.6
  37.08,34.3
  37.10,34.6
  37.12,33.9
  37.14,33.6
  37.16,34.1
  37.18,33.6
  37.20,34.1
  37.24,33.4
  37.26,34.1
  37.32,34.6
  37.34,33.9
  37.36,34.3
  37.38,33.6
  37.40,34.3
  37.42,34.8
  37.44,34.1
  37.46,33.9
  37.48,34.1
  37.50,34.3
  37.52,34.6
  37.54,34.1
  37.56,33.9
  37.58,34.6
  38.00,33.9
  38.02,34.3
  38.04,34.6
  38.06,34.3
  38.10,33.4
