time,mv
00.00,27.5
00.02,27.7
00.04,28.2
00.08,27
00.10,27.5
00.14,27.3
00.16,27
00.20,27.3
00.24,27
00.26,27.5
00.30,26.5
00.32,27
00.34,27.5
00.36,27.3
00.38,27
00.40,26.5
00.42,27.3
00.46,27.7
00.48,26.8
00.50,27.5
00.52,26.8
00.54,27
00.56,26.8
00.58,27
01.00,27.5
01.08,27
01.12,26.8
01.14,27.3
01.16,27.5
01.18,27
01.20,27.5
01.22,27.3
01.24,27
01.26,28
01.28,27.7
01.30,27.3
01.32,27.5
01.34,27.7
01.36,27
01.38,27.3
01.40,27.5
01.44,28
01.48,27.3
01.50,27
01.52,27.3
01.54,27.5
01.56,27.7
01.58,27.3
02.00,27.5
02.02,27.7
02.04,27.3
02.08,27
02.10,27.3
02.14,27
02.16,27.3
02.18,27.5
02.20,27.3
02.22,27.7
02.24,27.5
02.28,27.7
02.30,28
02.32,27.7
02.34,27.3
02.38,27.5
02.40,27.3
02.42,28
02.44,27.5
02.46,27.7
02.48,26.8
02.50,27.5
02.52,28
02.54,27.5
02.56,27.7
02.58,27.5
03.04,26.8
03.06,27
03.14,27.3
03.16,27.5
03.18,27.7
03.20,27.3
03.24,28
03.28,27.5
03.30,27.3
03.32,27
03.34,27.3
03.36,27.7
03.42,28
03.44,27.3
03.48,27.5
03.50,27
03.52,27.5
03.54,27
03.58,27.3
04.00,27
04.02,27.7
04.04,27.3
04.06,27.5
04.10,27.7
04.12,28
04.14,27.3
04.18,26.8
04.20,27
04.22,26.8
04.26,27.3
04.30,27.5
04.34,27.7
04.36,28
04.38,27.3
04.40,27
04.42,27.3
04.46,26.8
04.48,27.5
04.50,27.7
04.52,28
04.54,27.7
04.56,27.5
04.58,27
05.02,27.7
05.04,27.5
05.06,28
05.08,27.7
05.10,27.5
05.14,27.7
05.16,27.5
05.18,27
05.20,27.5
05.22,26.8
05.24,27.7
05.26,28
05.28,27.5
05.32,28
05.36,27.7
05.38,27.5
05.42,27.3
05.46,27.5
05.48,27.7
05.52,27.3
05.54,27
05.58,27.5
06.00,27
06.04,27.7
06.06,27.5
06.10,27.3
06.12,27.5
06.16,27.7
06.18,27.3
06.20,28.2
06.22,27.7
06.24,27.5
06.32,27.3
06.34,27.5
06.36,27.7
06.38,27.5
06.40,27
06.42,27.5
06.44,27.3
06.46,27.5
06.50,27.3
06.52,27.7
06.56,27.5
06.58,27.7
07.00,28
07.02,27.3
07.04,27.5
07.06,27.7
07.10,27
07.12,27.7
07.14,27.5
07.20,27.7
07.24,27.3
07.26,27.5
07.30,27.3
07.32,27.7
07.34,27.5
07.36,27.3
07.38,27.7
07.39,27.7
07.40,28
07.42,27.5
07.44,28.2
07.46,27.7
07.48,27.5
07.50,27.3
07.52,27.5
07.54,27.3
07.58,27.7
08.04,27.3
08.06,27.7
08.08,27.5
08.10,27.7
08.12,27.3
08.14,27
08.16,27.3
08.20,27
08.22,26.8
08.24,27.5
08.28,28
08.32,28.2
08.36,27.5
08.38,28
08.40,27.3
08.44,28.5
08.46,27.7
08.48,27.5
08.54,27.3
08.56,27.7
09.00,27.3
09.02,28
09.06,27.5
09.12,27.7
09.14,28
09.16,27.5
09.18,28
09.20,27.7
09.22,26.8
09.24,27.7
09.26,27
09.28,27.7
09.30,28.5
09.32,28
09.34,27.5
09.36,28
09.38,27.5
09.40,28
09.42,27.7
09.44,28
09.46,27.7
09.48,27.3
09.50,27
09.52,27.5
09.56,27
09.58,27.7
10.02,27.5
10.04,27
10.06,27.5
10.10,27.3
10.12,27.5
10.16,27.7
10.18,27.5
10.20,28.2
10.22,28
10.24,27.5
10.26,27.3
10.28,27.5
10.34,27.3
10.36,26.8
10.38,27.3
10.42,27
10.44,27.3
10.46,27.7
10.50,27.3
10.54,27.5
10.56,27.3
11.00,28.2
11.02,27.5
11.04,27.3
11.06,27.5
11.08,27.3
11.10,27.5
11.18,27.3
11.20,27
11.22,27.3
11.26,27.5
11.28,27.3
11.30,27.5
11.32,28
11.36,27.3
11.38,26.8
11.40,27.3
11.42,27.7
11.48,27.5
11.50,27.3
11.52,27.5
11.56,27.3
12.00,27
12.02,27.5
12.04,27.3
12.08,26.8
12.12,27.3
12.14,27.5
12.16,27.3
12.18,27.7
12.20,27
12.22,27.5
12.24,27.3
12.26,27.7
12.28,27
12.30,27.3
12.32,27
12.36,27.3
12.38,27.5
12.40,27
12.42,27.5
12.44,27.3
12.46,28
12.48,27.3
12.52,27.5
12.56,27.3
12.58,27.5
13.00,26.8
13.02,27.3
13.04,27
13.08,27.5
13.12,27
13.14,27.3
13.20,27.5
13.22,27.3
13.24,27
13.28,27.3
13.32,27.5
13.34,27
13.36,27.3
13.38,26.5
13.40,27.5
13.44,26.8
13.46,27
13.48,27.3
13.50,27.5
13.52,27.7
13.54,26.8
13.56,26.5
13.58,27.5
14.02,27
14.04,27.5
14.06,27.3
14.08,27.5
14.10,27.3
14.12,27.5
14.14,27.7
14.16,26.5
14.18,27.5
14.20,27.7
14.22,27.3
14.24,27.5
14.26,27.3
14.28,26.5
14.30,27.3
14.36,27
14.40,27.3
14.42,27
14.46,27.7
14.48,27.3
14.50,27
14.52,26.8
14.54,27.3
14.56,26.8
14.58,27.3
15.00,26.3
15.02,27.3
15.04,27.5
15.08,27
15.14,26.8
15.16,27
15.20,26.8
15.22,26.5
15.24,27
15.26,26.8
15.28,27
15.34,26.8
15.36,27
15.38,26.5
15.42,26.8
15.44,27
15.46,26.8
15.48,27
15.56,27.7
15.58,27.5
16.00,27.3
16.02,26.8
16.04,27
16.06,26.8
16.08,26.5
16.10,27
16.14,26.8
16.20,26.3
16.22,26.5
16.24,27
16.26,26
16.28,26.8
16.30,27
16.32,27.3
16.34,27
16.40,27.3
16.42,26.5
16.44,27.3
16.46,27
16.48,26.5
16.50,26.8
16.52,27
16.56,27.5
16.58,26.8
17.00,27.3
17.02,27
17.04,26.8
17.06,27.3
17.08,27
17.12,27.5
17.14,26.8
17.16,27
17.20,27.3
17.22,27
17.24,26.5
17.26,26.8
17.28,27.3
17.30,26.5
17.32,27
17.34,26.8
17.36,26.5
17.38,26
17.40,26.8
17.42,26.3
17.44,26.5
17.46,26.3
17.48,27
17.50,26.5
17.52,26.8
17.54,27
17.56,26.8
17.58,27
18.02,26.8
18.08,26
18.10,26.5
18.12,26.3
18.16,26.8
18.18,27
18.20,26.3
18.22,26.8
18.24,26.5
