time,mv
  16.40.14,28.7
  16.40.16,29
  16.40.18,30.2
  16.40.20,29.5
  16.40.22,29.2
  16.40.24,29.9
  16.40.26,29
  16.40.30,28.5
  16.40.32,29.7
  16.40.34,29
  16.40.36,29.9
  16.40.38,28.7
  16.40.40,28.5
  16.40.42,28.2
  16.40.44,29.2
  16.40.46,29.5
  16.40.48,30.4
  16.40.50,29.7
  16.40.52,29
  16.40.54,29.9
  16.40.56,29.5
  16.40.58,29.2
  16.41.02,29.5
  16.41.04,29.2
  16.41.06,29.9
  16.41.08,28.7
  16.41.10,29.5
  16.41.12,29.9
  16.41.14,29.5
  16.41.16,29.7
  16.41.18,28.7
  16.41.20,29.9
  16.41.22,29
  16.41.24,29.7
  16.41.26,29
  16.41.28,30.2
  16.41.30,29.5
  16.41.32,29
  16.41.34,29.2
  16.41.36,30.2
  16.41.38,29.7
  16.41.40,30.2
  16.41.42,29.5
  16.41.44,29
  16.41.46,29.5
  16.41.50,28.7
  16.41.52,29.5
  16.41.54,30.2
  16.41.56,29.9
  16.41.58,30.7
  16.42.00,29.9
  16.42.02,29
  16.42.04,29.2
  16.42.06,28.7
  16.42.08,29.7
  16.42.10,29
  16.42.12,29.7
  16.42.14,28.7
  16.42.16,29.5
  16.42.18,29.2
  16.42.20,30.9
  16.42.22,29.9
  16.42.24,29.7
  16.42.26,29.2
  16.42.28,29.9
  16.42.30,30.2
  16.42.32,30.4
  16.42.34,29.2
  16.42.36,30.2
  16.42.38,29.2
  16.42.40,29.5
  16.42.42,29.9
  16.42.44,29
  16.42.46,29.2
  16.42.48,29.7
  16.42.52,30.4
  16.42.56,30.2
  16.42.58,29.9
  16.43.00,29.7
  16.43.02,29.2
  16.43.04,30.2
  16.43.06,29.5
  16.43.08,29.9
  16.43.10,30.4
  16.43.12,30.2
  16.43.14,29.7
  16.43.16,28.7
  16.43.18,30.4
  16.43.20,29.5
  16.43.22,29.9
  16.43.24,29.7
  16.43.30,29.9
  16.43.32,29.7
  16.43.38,30.2
  16.43.48,29.7
  16.43.50,30.2
  16.43.52,29.2
  16.43.54,29.7
  16.43.56,30.2
  16.44.00,29.5
  16.44.04,29
  16.44.06,29.5
  16.44.10,28.5
  16.44.12,29.2
  16.44.14,29.7
  16.44.16,30.2
  16.44.18,29.9
  16.44.20,28.2
  16.44.22,30.2
  16.44.24,29.5
  16.44.26,29.9
  16.44.28,30.2
  16.44.32,29
  16.44.34,29.7
  16.44.36,29.5
